"","x"
"1",0.337075931069051
"2",0.112044649360203
"3",0.0866461098001637
"4",0.0743641373576586
"5",0.0626513426097709
"6",0.0622033975488861
"7",0.0609753004159997
"8",0.0521093102519563
"9",0.0487006385276506
"10",0.043042769075733
"11",0.0375013204872705
"12",0.0226850934956574
